Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
M,1,1,0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,11.626379002,0.3736209982,0.1805129397
I,0,0,0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,8.7318206848,-1.731820685,-0.839535901
F,1,0,1,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,9.5382127355,0.4617872645,0.2233969354
M,1,1,0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,8.8967228262,-1.896722826,-0.920180002
M,1,1,0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,8.822771784,0.177228216,0.0858688098
M,1,1,0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,8.3426511164,2.6573488836,1.2852949732
I,0,0,0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,7.8023764799,2.1976235201,1.061807559
F,1,0,1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,10.190471482,1.809528518,0.8735485615
F,1,0,1,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,9.9005036476,-0.900503648,-0.435405571
F,1,0,1,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,10.348841299,-0.348841299,-0.168511892
F,1,0,1,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,11.61693739,-0.61693739,-0.29797984
F,1,0,1,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,11.444372567,-0.444372567,-0.215223732
M,1,1,0,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,11.385743763,0.6142562371,0.2971339351
M,1,1,0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,11.155578516,3.8444214839,1.859586658
M,1,1,0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,8.800158656,2.199841344,1.0644834771
M,1,1,0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,12.05103042,-2.05103042,-0.991376027
F,1,0,1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,14.627296268,0.372703732,0.1841639812
M,1,1,0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,10.860712133,7.1392878668,3.4628507246
F,1,0,1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,11.402094763,7.5979052369,3.6821582881
F,1,0,1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,13.638082276,-0.638082276,-0.309422364
M,1,1,0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,8.1420814582,-0.142081458,-0.068684222
F,1,0,1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,11.594549429,4.4054505713,2.1576499527
F,1,0,1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,9.0976296284,-1.097629628,-0.530769537
F,1,0,1,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,10.398692511,0.6013074894,0.2903983919
M,1,1,0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,8.175949573,0.824050427,0.39958701
F,1,0,1,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,8.9809772774,0.0190227226,0.0092007838
F,1,0,1,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,10.783942727,3.216057273,1.5534482895
I,0,0,0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,4.7610712648,0.2389287352,0.1157113656
I,0,0,0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,4.2715163768,0.7284836232,0.3527442453
I,0,0,0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,4.504268263,-0.504268263,-0.244025505
I,0,0,0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,7.0218906165,-0.021890617,-0.010571441
M,1,1,0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,7.238322638,1.761677362,0.8673825705
F,1,0,1,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,10.386625926,-3.386625926,-1.637480699
I,0,0,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,5.9584228975,0.0415771025,0.0200894921
F,1,0,1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,10.786595541,-1.786595541,-0.86380356
I,0,0,0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,9.5116163843,-1.511616384,-0.731451083
M,1,1,0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,8.5330137557,-1.533013756,-0.74149807
M,1,1,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,9.2956676385,0.7043323615,0.3406489529
F,1,0,1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,9.5371011614,0.4628988386,0.2236022952
M,1,1,0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,8.3745203093,-1.374520309,-0.664075248
F,1,0,1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,11.177366643,-3.177366643,-1.536040002
M,1,1,0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,9.3153410346,-1.315341035,-0.635209426
M,1,1,0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,9.2295033889,-1.229503389,-0.594351004
I,0,0,0,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,5.0941522625,-1.094152262,-0.529080903
F,1,0,1,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,10.074934057,-3.074934057,-1.485281565
M,1,1,0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,8.8574102425,-1.857410242,-0.898286114
M,1,1,0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,8.24169427,0.75830573,0.3672009868
F,1,0,1,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,9.7030285322,0.2969714678,0.1435538943
M,1,1,0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,8.3224259429,-1.322425943,-0.639264464
M,1,1,0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,10.192234722,-2.192234722,-1.059448003
M,1,1,0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,8.5661289251,-0.566128925,-0.273548545
F,1,0,1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,12.525384893,-0.525384893,-0.253794805
F,1,0,1,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,17.384604007,-4.384604007,-2.133998774
F,1,0,1,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,10.430181798,-0.430181798,-0.208014039
I,0,0,0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,6.1423778754,-0.142377875,-0.068785805
M,1,1,0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,12.690428634,0.3095713661,0.1497980173
F,1,0,1,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,9.2990274066,-1.299027407,-0.629112466
F,1,0,1,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,13.934466372,6.0655336278,2.9345006069
M,1,1,0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,12.919438107,-1.919438107,-0.929233017
F,1,0,1,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,10.273020946,2.7269790537,1.3263470401
F,1,0,1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,10.527247041,4.4727529586,2.159645186
M,1,1,0,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,12.310497654,-3.310497654,-1.60123813
F,1,0,1,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,11.846906665,-1.846906665,-0.892549538
F,1,0,1,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,12.740748903,-1.740748903,-0.84153648
F,1,0,1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,11.43737887,2.5626211301,1.2375562051
F,1,0,1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,10.947028685,-1.947028685,-0.941411976
M,1,1,0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,21.326065209,-9.326065209,-4.87005652
F,1,0,1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,12.369687166,3.6303128342,1.7578894615
M,1,1,0,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,18.720787989,2.2792120113,1.1241168866
M,1,1,0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,13.070141435,0.9298585647,0.4499353944
F,1,0,1,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,20.583456442,-8.583456442,-4.23090405
M,1,1,0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,13.073959405,-0.073959405,-0.035999149
M,1,1,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,11.798323295,-1.798323295,-0.86849708
F,1,0,1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,10.006032495,-1.006032495,-0.485979907
F,1,0,1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,14.426221487,-2.426221487,-1.173067822
M,1,1,0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,10.914172249,4.0858277508,1.9743300509
M,1,1,0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,11.526271848,0.4737281515,0.2288689784
M,1,1,0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,14.053878071,-1.053878071,-0.509521006
F,1,0,1,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,12.100621664,-2.100621664,-1.015323528
M,1,1,0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,12.885167571,2.1148324291,1.0254916917
M,1,1,0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,14.729994001,-0.729994001,-0.354122477
M,1,1,0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,12.456056086,-3.456056086,-1.670992633
M,1,1,0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,9.6440895255,-1.644089525,-0.794463574
M,1,1,0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,10.344313266,-3.344313266,-1.615432095
F,1,0,1,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,9.2448179824,0.7551820176,0.3658104209
I,0,0,0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,7.0198791588,-0.019879159,-0.009598893
M,1,1,0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,11.574373019,3.4256269808,1.6537261486
M,1,1,0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,14.201767284,0.7982327157,0.3863162482
M,1,1,0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,10.077824984,-0.077824984,-0.037567882
M,1,1,0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,11.761621952,0.2383780485,0.1150845281
F,1,0,1,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,11.17341419,0.8265858098,0.399383383
F,1,0,1,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,12.669199321,-1.669199321,-0.806517079
F,1,0,1,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,11.370993962,-1.370993962,-0.662401903
F,1,0,1,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,11.131624497,-2.131624497,-1.030664202
F,1,0,1,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,9.7705497773,-0.770549777,-0.379504683
M,1,1,0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,9.161090083,-0.161090083,-0.07784182
M,1,1,0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,10.001701931,-1.001701931,-0.485094143
I,0,0,0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,7.0207554089,1.9792445911,0.9576003227
M,1,1,0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,11.243838871,-2.243838871,-1.087994446
F,1,0,1,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,10.152131624,0.8478683759,0.4098114279
F,1,0,1,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,10.092125331,0.9078746694,0.4394136315
F,1,0,1,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,11.140207171,-0.140207171,-0.067834051
M,1,1,0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,11.050294269,-1.050294269,-0.508143857
F,1,0,1,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,12.341077765,-3.341077765,-1.614629251
M,1,1,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,8.2423101247,-0.242310125,-0.117247167
F,1,0,1,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,9.9499250599,-0.94992506,-0.459364661
I,0,0,0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,7.2418544978,-0.241854498,-0.116799879
F,1,0,1,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,11.598587017,2.4014129834,1.1606539698
M,1,1,0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,7.9463913931,-1.946391393,-0.943970115
I,0,0,0,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,6.503136235,-0.503136235,-0.243303138
I,0,0,0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,5.4969890236,-0.496989024,-0.24024239
I,0,0,0,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,6.7708149163,-0.770814916,-0.372137023
I,0,0,0,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,6.8460055631,1.1539944369,0.5572878685
M,1,1,0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,15.769473423,3.2305265769,1.6167961015
M,1,1,0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,16.686836877,1.3131631225,0.73209951
M,1,1,0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,13.476690462,3.5233095385,1.7037267042
F,1,0,1,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,9.8180177866,-0.818017787,-0.395932896
F,1,0,1,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,7.9759317925,-0.975931792,-0.47470104
I,0,0,0,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,7.1129053588,-0.112905359,-0.054539819
I,0,0,0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,5.5489985376,1.4510014624,0.7009470276
F,1,0,1,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,9.9762988279,-1.976298828,-0.955315021
F,1,0,1,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,7.4885040684,-0.488504068,-0.238041562
M,1,1,0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,7.640574991,1.359425009,0.6581148808
F,1,0,1,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,9.4591742455,-0.459174245,-0.222262462
M,1,1,0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,8.9382739583,0.0617260417,0.0298340114
F,1,0,1,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,10.795678535,-0.795678535,-0.384283332
F,1,0,1,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,11.727967857,-1.727967857,-0.836242252
M,1,1,0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,13.409742902,2.5902570975,1.2528610895
M,1,1,0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,10.394303785,0.6056962155,0.2927816988
M,1,1,0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,10.33714476,-0.33714476,-0.162809937
F,1,0,1,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,9.8407831489,0.1592168511,0.0769070505
M,1,1,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,9.5755190035,0.4244809965,0.2049485734
I,0,0,0,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,6.1321821485,2.8678178515,1.3871307045
I,0,0,0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,4.2515260056,0.7484739944,0.3636884758
I,0,0,0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,4.6621163507,-0.662116351,-0.332885151
M,1,1,0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,10.997860547,4.0021394526,1.9356684968
F,1,0,1,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,11.713050738,-2.713050738,-1.312349124
F,1,0,1,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,14.194607919,-4.194607919,-2.02791615
F,1,0,1,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,13.689042067,-3.689042067,-1.78323724
F,1,0,1,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,12.70902623,-0.70902623,-0.343967797
M,1,1,0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,10.246610507,-0.246610507,-0.119104617
F,1,0,1,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,12.410891195,0.5891088047,0.2853474383
M,1,1,0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,17.711873418,-1.711873418,-0.862304799
F,1,0,1,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,11.307801738,1.6921982625,0.817430763
F,1,0,1,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,19.367148067,-6.367148067,-3.110882597
M,1,1,0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,11.999374374,1.0006256255,0.4833574648
F,1,0,1,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,10.824238532,2.175761468,1.0526957216
M,1,1,0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,11.031126909,0.9688730914,0.4678772052
F,1,0,1,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,19.607857328,-1.607857328,-0.949006448
F,1,0,1,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,20.105628357,-4.105628357,-2.175312164
M,1,1,0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,12.625667641,1.3743323588,0.6961231663
F,1,0,1,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,15.22702224,4.7729777602,2.510454528
F,1,0,1,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,16.894097213,3.1059027872,1.5293547249
M,1,1,0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,15.972228703,-1.972228703,-1.001243517
F,1,0,1,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,16.194875701,-4.194875701,-2.108708288
M,1,1,0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,14.787412577,-0.787412577,-0.397048387
F,1,0,1,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,11.432273394,-4.432273394,-2.142079199
M,1,1,0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,10.265981991,-2.265981991,-1.096604187
F,1,0,1,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,10.513631783,-2.513631783,-1.215225893
I,0,0,0,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,4.5298412506,0.4701587494,0.2282070351
I,0,0,0,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,7.3191262689,-0.319126269,-0.154199877
I,0,0,0,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,5.2843956155,-0.284395616,-0.138018976
I,0,0,0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,6.7403853259,1.2596146741,0.6092235233
I,0,0,0,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,4.3905415519,-0.390541552,-0.189048655
M,1,1,0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,12.135690334,-1.135690334,-0.550022054
M,1,1,0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,11.529991154,2.4700088458,1.1977236413
M,1,1,0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,15.165233413,5.8347665868,2.857808473
F,1,0,1,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,11.242113209,-1.242113209,-0.600549836
F,1,0,1,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,11.235476942,-1.235476942,-0.597373913
F,1,0,1,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,13.07212929,-1.07212929,-0.518779919
M,1,1,0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,10.813719266,2.1862807338,1.0570468174
F,1,0,1,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,11.038893516,0.9611064839,0.4697543082
F,1,0,1,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,12.728752988,-2.728752988,-1.318853243
F,1,0,1,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,10.154066184,0.8459338161,0.4096482389
F,1,0,1,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,11.295108526,-2.295108526,-1.11156265
M,1,1,0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,12.320158048,0.6798419518,0.3288734768
M,1,1,0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,11.776046758,0.2239532415,0.1083644942
M,1,1,0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,15.864289775,-1.864289775,-0.904558122
I,0,0,0,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,8.1669849621,-0.166984962,-0.081563379
F,1,0,1,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,7.5883769279,2.4116230721,1.1697391225
M,1,1,0,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,10.652985614,1.3470143864,0.6512613134
F,1,0,1,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,10.296178067,0.7038219333,0.3403105439
M,1,1,0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,15.898106897,0.1018931026,0.049378596
M,1,1,0,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,10.272558084,4.7274419156,2.2835337337
M,1,1,0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,12.057278226,-2.057278226,-0.995244903
F,1,0,1,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,10.001310463,-1.001310463,-0.483756892
M,1,1,0,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,14.530783311,-1.530783311,-0.742462389
F,1,0,1,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,11.852317503,0.1476824971,0.0713739313
F,1,0,1,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,13.289585389,-0.289585389,-0.140151632
M,1,1,0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,8.825554024,-0.825554024,-0.399037531
F,1,0,1,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,10.69522534,-1.69522534,-0.819938246
I,0,0,0,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,8.9265472539,0.0734527461,0.0354908724
I,0,0,0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,8.4622720218,-0.462272022,-0.223189845
F,1,0,1,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,14.4712249,-1.4712249,-0.711848302
I,0,0,0,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,7.1169615618,-0.116961562,-0.056460796
F,1,0,1,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,12.725853686,-2.725853686,-1.320070481
M,1,1,0,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,7.7883648888,-0.788364889,-0.381314658
F,1,0,1,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,9.4111695865,2.5888304135,1.251827433
M,1,1,0,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,11.044865512,-2.044865512,-0.98786901
F,1,0,1,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,12.40854442,1.5914555799,0.7703644335
M,1,1,0,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,14.063044921,-4.063044921,-1.972304803
M,1,1,0,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,10.142164644,-2.142164644,-1.03509807
I,0,0,0,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,8.5655390689,-1.565539069,-0.75661869
M,1,1,0,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,11.554641299,-1.554641299,-0.751354609
F,1,0,1,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,9.416569038,-1.416569038,-0.68677123
F,1,0,1,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,9.9403783167,-0.940378317,-0.455066153
F,1,0,1,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,11.276073466,-0.276073466,-0.133604002
F,1,0,1,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,11.0410084,-2.0410084,-0.986650701
F,1,0,1,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,10.880381047,0.1196189529,0.0579395166
I,0,0,0,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,7.7602816079,2.2397183921,1.0942951672
F,1,0,1,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,10.450389658,-1.450389658,-0.702174168
F,1,0,1,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,9.1159999629,-2.115999963,-1.026623589
I,0,0,0,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,7.0804236438,-0.080423644,-0.038834964
F,1,0,1,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,13.863779336,-2.863779336,-1.383901735
F,1,0,1,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,12.359957701,2.640042299,1.2753682405
M,1,1,0,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,11.661032183,1.3389678166,0.6469249097
M,1,1,0,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,14.235286559,-0.235286559,-0.113798389
