Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Square Root[Rings],Predicted Square Root[Rings],Residual Square Root[Rings],Studentized Resid Square Root[Rings]
M,1,1,0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,3.3166247904,2.8707154701,0.4459093202,1.4787410558
I,0,0,0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,3.1622776602,2.7635692672,0.398708393,1.3208066436
F,1,0,1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,3.4641016151,3.1788975817,0.2852040335,0.9439926933
F,1,0,1,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,3,3.1351217767,-0.135121777,-0.447945524
F,1,0,1,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,3.1622776602,3.2066372841,-0.044359624,-0.146920319
F,1,0,1,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,3.3166247904,3.3834436574,-0.066818867,-0.221276986
F,1,0,1,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,3.3166247904,3.3726115646,-0.055986774,-0.185917261
M,1,1,0,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,3.4641016151,3.3541049963,0.1099966188,0.3648155686
M,1,1,0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,3.8729833462,3.3125256467,0.5604576995,1.8587441491
M,1,1,0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,3.3166247904,2.9724965749,0.3441282155,1.1417189142
M,1,1,0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,3.1622776602,3.4525785182,-0.290300858,-0.962068465
F,1,0,1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,3.8729833462,3.799932168,0.0730511783,0.2474910665
M,1,1,0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,4.2426406871,3.2796784485,0.9629622386,3.2024287984
F,1,0,1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,4.3588989435,3.3600292954,0.9988696482,3.3190114204
F,1,0,1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,3.6055512755,3.6704161449,-0.064864869,-0.215663136
M,1,1,0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,2.8284271247,2.8635767446,-0.03514962,-0.116501511
F,1,0,1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,4,3.3781894299,0.6218105701,2.0880462026
F,1,0,1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,2.8284271247,2.9966754748,-0.16824835,-0.55781775
F,1,0,1,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,3.3166247904,3.2076108056,0.1090139847,0.3609700396
M,1,1,0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,3,2.8407678773,0.1592321227,0.5293947206
F,1,0,1,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,3,2.9743194599,0.0256805401,0.0851623528
F,1,0,1,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,3.7416573868,3.2640980001,0.4775593867,1.5815821739
I,0,0,0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,2.2360679775,2.1751680954,0.0608998821,0.2022159628
I,0,0,0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,2.2360679775,2.078065783,0.1580021945,0.5245593251
I,0,0,0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,2,2.1099631358,-0.109963136,-0.364848067
I,0,0,0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,2.6457513111,2.6567192166,-0.010967906,-0.036315434
M,1,1,0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,3,2.7501916335,0.2498083665,0.843301059
F,1,0,1,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,2.6457513111,3.2056260899,-0.559874779,-1.85605659
I,0,0,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,2.4494897428,2.4419784129,0.0075113299,0.0248841563
F,1,0,1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,3,3.273242647,-0.273242647,-0.9057922
I,0,0,0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,2.8284271247,3.0573442732,-0.228917148,-0.759474808
M,1,1,0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,2.6457513111,2.9133471939,-0.267595883,-0.887431314
M,1,1,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,3.1622776602,3.0259873251,0.136290335,0.4519452465
F,1,0,1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,3.1622776602,3.070764586,0.0915130742,0.303085151
M,1,1,0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,2.6457513111,2.8813735493,-0.235622238,-0.780501528
F,1,0,1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,2.8284271247,3.3296876355,-0.501260511,-1.661460554
M,1,1,0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,2.8284271247,3.0385581073,-0.210130983,-0.695760878
M,1,1,0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,2.8284271247,3.0318533198,-0.203426195,-0.674235313
I,0,0,0,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,2,2.2491910019,-0.249191002,-0.82616735
F,1,0,1,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,2.6457513111,3.1567623613,-0.51101105,-1.692367296
M,1,1,0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,2.6457513111,2.9738394574,-0.328088146,-1.087899403
M,1,1,0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,3,2.8902038158,0.1097961842,0.3645340475
F,1,0,1,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,3.1622776602,3.1083586528,0.0539190074,0.1787036776
M,1,1,0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,2.6457513111,2.8770259052,-0.231274594,-0.766528803
M,1,1,0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,2.8284271247,3.1734258307,-0.344998706,-1.143145232
M,1,1,0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,2.8284271247,2.9227846091,-0.094357484,-0.312598411
F,1,0,1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,3.4641016151,3.5156900494,-0.051588434,-0.170863321
F,1,0,1,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,3.6055512755,4.1723819274,-0.566830652,-1.891509231
F,1,0,1,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,3.1622776602,3.2106536954,-0.048376035,-0.160384442
I,0,0,0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,2.4494897428,2.4649529518,-0.015463209,-0.05122091
M,1,1,0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,3.6055512755,3.5371347635,0.068416512,0.2269852095
F,1,0,1,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,2.8284271247,3.030835128,-0.202408003,-0.672092434
F,1,0,1,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,4.472135955,3.7070746763,0.7650612787,2.537772924
M,1,1,0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,3.3166247904,3.5713731704,-0.25474838,-0.845577268
F,1,0,1,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,3.6055512755,3.203468612,0.4020826635,1.3408557762
F,1,0,1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,3.8729833462,3.2257010454,0.6472823008,2.1428539624
M,1,1,0,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,3,3.4821991291,-0.482199129,-1.599117622
F,1,0,1,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,3.1622776602,3.4156473551,-0.253369695,-0.839524545
F,1,0,1,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,3.3166247904,3.542526794,-0.225902004,-0.748769677
F,1,0,1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,3.7416573868,3.3598031116,0.3818542752,1.2643564696
F,1,0,1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,3,3.2937326699,-0.29373267,-0.973757847
M,1,1,0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,3.4641016151,4.6710812747,-1.20697966,-4.321423742
F,1,0,1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,4,3.494432938,0.505567062,1.6784856467
M,1,1,0,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,4.582575695,4.354398029,0.2281776659,0.771598241
M,1,1,0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,3.7416573868,3.5931614423,0.1484959445,0.4926508137
F,1,0,1,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,3.4641016151,4.5963591801,-1.132257565,-3.826551375
M,1,1,0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,3.6055512755,3.5929537296,0.0125975459,0.0420412992
M,1,1,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,3.1622776602,3.4107860674,-0.248508407,-0.822873407
F,1,0,1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,3,3.1401245371,-0.140124537,-0.464100295
F,1,0,1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,3.4641016151,3.7865838409,-0.322482226,-1.069029793
M,1,1,0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,3.8729833462,3.2769780667,0.5960052795,1.9746092064
M,1,1,0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,3.4641016151,3.3678048648,0.0962967503,0.3189779903
M,1,1,0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,3.6055512755,3.730925404,-0.125374128,-0.415595657
F,1,0,1,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,3.1622776602,3.4622154641,-0.299937804,-0.993983479
M,1,1,0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,3.8729833462,3.5571676895,0.3158156567,1.0499803948
M,1,1,0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,3.7416573868,3.8189624261,-0.077305039,-0.257118518
M,1,1,0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,3,3.4991066885,-0.499106688,-1.654544651
M,1,1,0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,2.8284271247,3.095981325,-0.2675542,-0.886444703
M,1,1,0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,2.6457513111,3.1995740034,-0.553822692,-1.834188012
F,1,0,1,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,3.1622776602,3.0168890323,0.1453886279,0.4828655477
I,0,0,0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,2.6457513111,2.6324884776,0.0132628334,0.0439087244
M,1,1,0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,3.8729833462,3.3772335658,0.4957497804,1.6408821931
M,1,1,0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,3.8729833462,3.7488387599,0.1241445863,0.411938692
M,1,1,0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,3.1622776602,3.1586470626,0.0036305975,0.0120161994
M,1,1,0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,3.4641016151,3.4048092521,0.0592923631,0.1962640649
F,1,0,1,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,3.4641016151,3.3281533151,0.1359483,0.450367638
F,1,0,1,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,3.3166247904,3.5391348405,-0.22251005,-0.73713384
F,1,0,1,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,3.1622776602,3.3431337413,-0.180856081,-0.599115416
F,1,0,1,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,3,3.3195029263,-0.319502926,-1.059187089
F,1,0,1,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,3,3.1304644729,-0.130464473,-0.440554917
M,1,1,0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,3,3.0264671146,-0.026467115,-0.087688395
M,1,1,0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,3,3.147127937,-0.147127937,-0.488510626
I,0,0,0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,3,2.6565944221,0.3434055779,1.1391568099
M,1,1,0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,3,3.3197227783,-0.319722778,-1.062918432
F,1,0,1,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,3.3166247904,3.1635310143,0.1530937761,0.5073463164
F,1,0,1,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,3.3166247904,3.1635849237,0.1530398667,0.5078594686
F,1,0,1,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,3.3166247904,3.3018099915,0.0148147988,0.0491433362
M,1,1,0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,3.1622776602,3.2936848456,-0.131407185,-0.435899275
F,1,0,1,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,3,3.4850020092,-0.485002009,-1.607019395
M,1,1,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,2.8284271247,2.8629725459,-0.034545421,-0.114607394
F,1,0,1,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,3,3.1357555737,-0.135755574,-0.450108542
I,0,0,0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,2.6457513111,2.6802714903,-0.034520179,-0.114301681
F,1,0,1,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,3.7416573868,3.3867563076,0.3549010791,1.1760738007
M,1,1,0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,2.4494897428,2.7935190172,-0.344029274,-1.14397048
I,0,0,0,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,2.4494897428,2.568123856,-0.118634113,-0.393335415
I,0,0,0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,2.2360679775,2.3317518639,-0.095683886,-0.317126839
I,0,0,0,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,2.4494897428,2.599653454,-0.150163711,-0.497060337
I,0,0,0,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,2.8284271247,2.6192470777,0.209180047,0.6926079604
M,1,1,0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,4.3588989435,3.9764868048,0.3824121387,1.3122148647
M,1,1,0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,4.2426406871,4.0879041561,0.154736531,0.5914739789
M,1,1,0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,4.1231056256,3.6497200094,0.4733856162,1.5694791025
F,1,0,1,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,3,3.1071085055,-0.107108506,-0.355446423
F,1,0,1,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,2.6457513111,2.7944984698,-0.148747159,-0.496067466
I,0,0,0,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,2.6457513111,2.6474370918,-0.001685781,-0.005583308
I,0,0,0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,2.6457513111,2.3370565214,0.3086947896,1.0224403873
F,1,0,1,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,2.8284271247,3.1257260183,-0.297298894,-0.985323033
F,1,0,1,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,2.6457513111,2.6953618791,-0.049610568,-0.165748709
M,1,1,0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,3,2.7424354084,0.2575645916,0.8549170191
F,1,0,1,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,3,3.0477695531,-0.047769553,-0.158537179
M,1,1,0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,3,2.9601003898,0.0398996102,0.1322218487
F,1,0,1,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,3.1622776602,3.2690844708,-0.106806811,-0.353674869
F,1,0,1,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,3.1622776602,3.4034763304,-0.24119867,-0.800318222
M,1,1,0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,4,3.6362202337,0.3637797663,1.2063961353
M,1,1,0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,3.3166247904,3.2088788387,0.1077459516,0.3570930323
M,1,1,0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,3.1622776602,3.1955678797,-0.03329022,-0.110223069
F,1,0,1,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,3.1622776602,3.1167435028,0.0455341574,0.1508015408
M,1,1,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,3.1622776602,3.0712830425,0.0909946177,0.3012268642
I,0,0,0,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,3,2.447424346,0.552575654,1.8325208146
I,0,0,0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,2.2360679775,2.0406839756,0.1953840019,0.6509283302
I,0,0,0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,2,2.1512875289,-0.151287529,-0.521500331
M,1,1,0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,3.8729833462,3.3019484535,0.5710348927,1.8936196848
F,1,0,1,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,3,3.4011314301,-0.40113143,-1.330361018
F,1,0,1,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,3.1622776602,3.7463887315,-0.584111071,-1.936178566
F,1,0,1,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,3.1622776602,3.6787801847,-0.516502525,-1.711824803
F,1,0,1,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,3.4641016151,3.5319255258,-0.067823911,-0.225595099
M,1,1,0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,3.1622776602,3.1751535178,-0.012875858,-0.042636793
F,1,0,1,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,3.6055512755,3.5109873728,0.0945639026,0.3140473985
M,1,1,0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,4,4.2002770821,-0.200277082,-0.691690417
F,1,0,1,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,3.6055512755,3.3428670747,0.2626842008,0.8700115826
F,1,0,1,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,3.6055512755,4.445030474,-0.839479199,-2.812159567
M,1,1,0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,3.6055512755,3.4410637185,0.1644875569,0.5447800663
F,1,0,1,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,3.6055512755,3.2618520695,0.343699206,1.1401485888
M,1,1,0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,3.4641016151,3.30569088,0.1584107351,0.5244945148
F,1,0,1,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,4.2426406871,4.3194508424,-0.076810155,-0.310836239
F,1,0,1,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,4,4.4809382396,-0.48093824,-1.747119504
M,1,1,0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,3.7416573868,3.5102579008,0.231399486,0.8036150348
F,1,0,1,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,4.472135955,3.8369541697,0.6351817853,2.2906162264
F,1,0,1,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,4.472135955,4.0846851131,0.3874508419,1.3080619967
M,1,1,0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,3.7416573868,3.9831605313,-0.241503144,-0.840613926
F,1,0,1,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,3.4641016151,4.0104460554,-0.54634444,-1.883021526
M,1,1,0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,3.7416573868,3.8336963534,-0.092038967,-0.318202928
F,1,0,1,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,2.6457513111,3.3510314532,-0.705280142,-2.337017625
M,1,1,0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,2.8284271247,3.1818362852,-0.35340916,-1.17263431
F,1,0,1,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,2.8284271247,3.2165157665,-0.388088642,-1.286404755
I,0,0,0,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,2.2360679775,2.124163972,0.1119040055,0.3724101309
I,0,0,0,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,2.6457513111,2.6804220731,-0.034670762,-0.114861956
I,0,0,0,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,2.2360679775,2.3162187145,-0.080150737,-0.266694938
I,0,0,0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,2.8284271247,2.5785472572,0.2498798676,0.8286317471
I,0,0,0,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,2,2.1030974561,-0.103097456,-0.342172925
M,1,1,0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,3.3166247904,3.4660242491,-0.149399459,-0.496090085
M,1,1,0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,3.7416573868,3.3701864106,0.3714709762,1.2350210194
M,1,1,0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,4.582575695,3.8841260693,0.6984496257,2.3455034162
F,1,0,1,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,3.1622776602,3.3397226992,-0.177445039,-0.588224465
F,1,0,1,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,3.1622776602,3.3254769849,-0.163199325,-0.54102996
F,1,0,1,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,3.4641016151,3.5940101786,-0.129908563,-0.430987947
M,1,1,0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,3.6055512755,3.2773755396,0.3281757359,1.0878928232
F,1,0,1,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,3.4641016151,3.3122768255,0.1518247897,0.5087838314
F,1,0,1,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,3.1622776602,3.5453250763,-0.383047416,-1.269334643
F,1,0,1,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,3.3166247904,3.1804867513,0.1361380391,0.4520074004
F,1,0,1,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,3,3.3529780598,-0.35297806,-1.172113801
M,1,1,0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,3.6055512755,3.4738651749,0.1316861005,0.4367693709
M,1,1,0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,3.4641016151,3.4111220761,0.052979539,0.175763697
M,1,1,0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,3.7416573868,3.9793325613,-0.237675175,-0.790675406
I,0,0,0,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,2.8284271247,2.8353439451,-0.00691682,-0.023164114
F,1,0,1,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,3.1622776602,2.782721174,0.3795564862,1.2622557312
M,1,1,0,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,3.4641016151,3.242265113,0.2218365021,0.7353725323
F,1,0,1,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,3.3166247904,3.1997188162,0.1169059741,0.3875615303
M,1,1,0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,4,3.9741473511,0.0258526489,0.085899443
M,1,1,0,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,3.8729833462,3.1855783584,0.6874049878,2.2765922747
M,1,1,0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,3.1622776602,3.4421300793,-0.279852419,-0.928233732
F,1,0,1,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,3,3.1383170189,-0.138317019,-0.458168661
M,1,1,0,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,3.6055512755,3.8041463649,-0.198595089,-0.660420573
F,1,0,1,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,3.4641016151,3.4248295913,0.0392720238,0.1301323352
F,1,0,1,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,3.6055512755,3.6185946842,-0.013043409,-0.043281666
M,1,1,0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,2.8284271247,2.9632742502,-0.134847125,-0.44689067
F,1,0,1,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,3,3.2417065439,-0.241706544,-0.801555255
I,0,0,0,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,3,2.9445633576,0.0554366424,0.1836525255
I,0,0,0,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,2.8284271247,2.8858995398,-0.057472415,-0.190251293
