Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings]
F,1,0,1,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,2.302585093,2.3825257735,-0.07994068,-0.433790778
M,1,1,0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,2.4849066498,2.4242928106,0.0606138392,0.3277879414
I,0,0,0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,1.9459101491,2.069229741,-0.123319592,-0.669133151
F,1,0,1,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,2.302585093,2.212913162,0.089671931,0.4855521698
M,1,1,0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,1.9459101491,2.1418611663,-0.195951017,-1.064046383
M,1,1,0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,2.1972245773,2.1484946885,0.0487298889,0.2642665019
M,1,1,0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,2.3978952728,2.0963345309,0.3015607419,1.6325750424
I,0,0,0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,2.302585093,2.0162389184,0.2863461746,1.5485599449
F,1,0,1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,2.4849066498,2.3052150395,0.1796916103,0.9709425621
F,1,0,1,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,2.1972245773,2.278144214,-0.080919637,-0.437931865
F,1,0,1,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,2.302585093,2.3239283884,-0.021343295,-0.115400649
F,1,0,1,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,2.3978952728,2.4241078366,-0.026212564,-0.141709645
F,1,0,1,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,2.3978952728,2.4252462161,-0.027350943,-0.148272068
M,1,1,0,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,2.4849066498,2.4086898479,0.0762168018,0.4126648884
M,1,1,0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,2.7080502011,2.3732934722,0.3347567289,1.8124200554
M,1,1,0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,2.3978952728,2.1800865511,0.2178087217,1.1796874211
M,1,1,0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,2.302585093,2.4679294874,-0.165344394,-0.894540288
F,1,0,1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,2.7080502011,2.660689869,0.0473603321,0.261938786
M,1,1,0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,2.8903717579,2.3652036477,0.5251681102,2.8511583685
F,1,0,1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,2.9444389792,2.414914195,0.5295247842,2.8723607986
F,1,0,1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,2.5649493575,2.589297614,-0.024348257,-0.132156036
M,1,1,0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,2.0794415417,2.1098416217,-0.03040008,-0.164489591
F,1,0,1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,2.7725887222,2.4157570775,0.3568316447,1.9561318964
F,1,0,1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,2.0794415417,2.1817379136,-0.102296372,-0.553674492
F,1,0,1,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,2.3978952728,2.3209219006,0.0769733722,0.4160851587
M,1,1,0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,2.1972245773,2.0716350934,0.125589484,0.6816398409
F,1,0,1,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,2.1972245773,2.1668679608,0.0303566165,0.1643424024
F,1,0,1,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,2.6390573296,2.3549660847,0.2840912449,1.5359426304
I,0,0,0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,1.6094379124,1.5417450433,0.0676928691,0.3669396768
I,0,0,0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,1.6094379124,1.4610382894,0.148399623,0.8042981315
I,0,0,0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,1.3862943611,1.4782420946,-0.091947734,-0.4980337
I,0,0,0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,1.9459101491,1.9585002972,-0.012590148,-0.068053607
M,1,1,0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,2.1972245773,2.0554767187,0.1417478586,0.7811688948
F,1,0,1,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,1.9459101491,2.320388209,-0.37447806,-2.026653284
I,0,0,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,1.7917594692,1.7829360976,0.0088233716,0.0477192296
F,1,0,1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,2.1972245773,2.3657512864,-0.168526709,-0.912014203
I,0,0,0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,2.0794415417,2.2191238851,-0.139682343,-0.756535526
M,1,1,0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,1.9459101491,2.1336995195,-0.18778937,-1.016667866
M,1,1,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,2.302585093,2.2020431571,0.1005419359,0.5442779948
F,1,0,1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,2.302585093,2.2341913193,0.0683937737,0.3697863285
M,1,1,0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,1.9459101491,2.1078289555,-0.161918806,-0.87560361
F,1,0,1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,2.0794415417,2.3988673953,-0.319425854,-1.728420368
M,1,1,0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,2.0794415417,2.2158004224,-0.136358881,-0.737065546
M,1,1,0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,2.0794415417,2.2152966969,-0.135855155,-0.735078145
I,0,0,0,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,1.3862943611,1.6082872191,-0.221992858,-1.201510148
F,1,0,1,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,1.9459101491,2.2888185201,-0.342908371,-1.853937926
M,1,1,0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,1.9459101491,2.1791656342,-0.233255485,-1.262649564
M,1,1,0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,2.1972245773,2.133694551,0.0635300263,0.3443361783
F,1,0,1,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,2.302585093,2.2640718818,0.0385132112,0.208379073
M,1,1,0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,1.9459101491,2.108444143,-0.162533994,-0.879422409
M,1,1,0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,2.0794415417,2.2984618975,-0.219020356,-1.184734928
M,1,1,0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,2.0794415417,2.1431992208,-0.063757679,-0.344822567
F,1,0,1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,2.4849066498,2.502445032,-0.017538382,-0.094828481
F,1,0,1,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,2.5649493575,2.8635299016,-0.298580544,-1.626557468
F,1,0,1,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,2.302585093,2.3222332011,-0.019648108,-0.106342159
I,0,0,0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,1.7917594692,1.7915791095,0.0001803597,0.0009753038
M,1,1,0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,2.5649493575,2.5135851962,0.0513641613,0.2781951794
F,1,0,1,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,2.0794415417,2.2056139299,-0.126172388,-0.683940652
F,1,0,1,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,2.9957322736,2.6081930006,0.3875392729,2.0985775696
M,1,1,0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,2.3978952728,2.5350988202,-0.137203547,-0.743464057
F,1,0,1,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,2.5649493575,2.3269807015,0.2379686559,1.2955054543
F,1,0,1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,2.7080502011,2.3303138602,0.3777363409,2.041457677
M,1,1,0,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,2.1972245773,2.4804114488,-0.283186871,-1.533133143
F,1,0,1,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,2.302585093,2.4401837498,-0.137598657,-0.744296014
F,1,0,1,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,2.3978952728,2.5153819463,-0.117486674,-0.635725368
F,1,0,1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,2.6390573296,2.4108801048,0.2281772248,1.2333801105
F,1,0,1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,2.1972245773,2.3758400366,-0.178615459,-0.96665284
M,1,1,0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,2.4849066498,3.118894805,-0.633988155,-3.705619435
F,1,0,1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,2.7725887222,2.4898490675,0.2827396547,1.5324219092
M,1,1,0,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,3.0445224377,2.9652114734,0.0793109643,0.4378285673
M,1,1,0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,2.6390573296,2.5485427806,0.090514549,0.4902253579
F,1,0,1,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,2.4849066498,3.0904222851,-0.605515635,-3.340722855
M,1,1,0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,2.5649493575,2.5485255685,0.016423789,0.0894780075
M,1,1,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,2.302585093,2.4393635718,-0.136778479,-0.739371114
F,1,0,1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,2.1972245773,2.2759120886,-0.078687511,-0.425457547
F,1,0,1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,2.4849066498,2.6584215792,-0.173514929,-0.939017407
M,1,1,0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,2.7080502011,2.3585095223,0.3495406788,1.8905211707
M,1,1,0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,2.4849066498,2.4115428505,0.0733637993,0.3967196108
M,1,1,0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,2.5649493575,2.6254052002,-0.060455843,-0.327155422
F,1,0,1,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,2.302585093,2.4753034358,-0.172718343,-0.934413685
M,1,1,0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,2.7080502011,2.5184526591,0.189597542,1.0290417738
M,1,1,0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,2.6390573296,2.6712161771,-0.032158847,-0.174613893
M,1,1,0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,2.1972245773,2.4875401563,-0.290315579,-1.57111586
M,1,1,0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,2.0794415417,2.2553449161,-0.175903374,-0.951408037
M,1,1,0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,1.9459101491,2.3176319597,-0.371721811,-2.009758699
F,1,0,1,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,2.302585093,2.1948800647,0.1077050283,0.5839619228
I,0,0,0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,1.9459101491,1.9248640215,0.0210461275,0.1137468745
M,1,1,0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,2.7080502011,2.4201522975,0.2878979037,1.555629403
M,1,1,0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,2.7080502011,2.6351879017,0.0728622994,0.3946939247
M,1,1,0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,2.302585093,2.290670885,0.011914208,0.0643734768
M,1,1,0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,2.4849066498,2.4371653661,0.0477412837,0.257981695
F,1,0,1,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,2.4849066498,2.3973844972,0.0875221526,0.473330134
F,1,0,1,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,2.3978952728,2.5172840859,-0.119388813,-0.645673737
F,1,0,1,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,2.302585093,2.3974187251,-0.094833632,-0.512852564
F,1,0,1,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,2.1972245773,2.3907183846,-0.193493807,-1.04717117
F,1,0,1,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,2.1972245773,2.2853472105,-0.088122633,-0.485789388
M,1,1,0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,2.1972245773,2.2142076274,-0.01698305,-0.09185525
M,1,1,0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,2.1972245773,2.2861337888,-0.088909211,-0.481923825
I,0,0,0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,2.1972245773,1.9580453469,0.2391792304,1.2952464146
M,1,1,0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,2.1972245773,2.3818775071,-0.18465293,-1.002156002
F,1,0,1,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,2.3978952728,2.2899771013,0.1079181715,0.5838406423
F,1,0,1,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,2.3978952728,2.2949770309,0.1029182419,0.5575503633
F,1,0,1,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,2.3978952728,2.369408721,0.0284865518,0.1542629134
M,1,1,0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,2.302585093,2.3680105618,-0.065425469,-0.354296323
F,1,0,1,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,2.1972245773,2.4823164119,-0.285091835,-1.5421092
M,1,1,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,2.0794415417,2.0990857022,-0.019644161,-0.106391857
F,1,0,1,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,2.1972245773,2.2751626939,-0.077938117,-0.421854088
I,0,0,0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,1.9459101491,1.9645916664,-0.018681517,-0.100982122
F,1,0,1,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,2.6390573296,2.4296264227,0.2094309069,1.1329762285
M,1,1,0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,1.7917594692,2.0377969728,-0.246037504,-1.335591047
I,0,0,0,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,1.7917594692,1.8946065759,-0.102847107,-0.556670633
I,0,0,0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,1.6094379124,1.6794107654,-0.069972853,-0.378596454
I,0,0,0,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,1.7917594692,1.9086806697,-0.1169212,-0.631815319
I,0,0,0,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,2.0794415417,1.9263382291,0.1531033125,0.8275696949
M,1,1,0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,2.9444389792,2.771860226,0.1725787532,0.9667482172
M,1,1,0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,2.8903717579,2.8294903654,0.0608813925,0.3799094821
M,1,1,0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,2.8332133441,2.5795156029,0.2536977411,1.3731242879
F,1,0,1,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,2.1972245773,2.2533250788,-0.056100502,-0.303927293
F,1,0,1,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,1.9459101491,2.0316030544,-0.085692905,-0.466540878
I,0,0,0,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,1.9459101491,1.9341901556,0.0117199934,0.0633680912
I,0,0,0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,1.9459101491,1.6802965963,0.2656135527,1.4361893329
F,1,0,1,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,2.0794415417,2.2602041843,-0.180762643,-0.978017876
F,1,0,1,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,1.9459101491,1.9502233062,-0.004313157,-0.023524695
M,1,1,0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,2.1972245773,2.0031112415,0.1941133358,1.0518309514
F,1,0,1,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,2.1972245773,2.2118733038,-0.014648726,-0.079365651
M,1,1,0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,2.1972245773,2.1523076604,0.0449169169,0.2429949679
F,1,0,1,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,2.302585093,2.3580966271,-0.055511534,-0.300082903
F,1,0,1,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,2.302585093,2.4367289328,-0.13414384,-0.726626611
M,1,1,0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,2.7725887222,2.5674353035,0.2051534188,1.1106645883
M,1,1,0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,2.3978952728,2.3205931137,0.0773021591,0.4182392703
M,1,1,0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,2.302585093,2.3133413911,-0.010756298,-0.05813952
F,1,0,1,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,2.302585093,2.2621108621,0.0404742309,0.2188264666
M,1,1,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,2.302585093,2.2315097906,0.0710753024,0.3841045759
I,0,0,0,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,2.1972245773,1.7670071332,0.4302174442,2.3291526617
I,0,0,0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,1.6094379124,1.4061983255,0.203239587,1.1053638206
I,0,0,0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,1.3862943611,1.5204426074,-0.134148246,-0.754899657
M,1,1,0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,2.7080502011,2.3821524248,0.3258977763,1.7642668721
F,1,0,1,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,2.1972245773,2.4346773667,-0.237452789,-1.285620721
F,1,0,1,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,2.302585093,2.6314049714,-0.328819878,-1.779347627
F,1,0,1,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,2.302585093,2.5935954268,-0.291010334,-1.57451951
F,1,0,1,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,2.4849066498,2.5055040355,-0.020597386,-0.111843746
M,1,1,0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,2.302585093,2.2961006151,0.0064844779,0.0350538847
F,1,0,1,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,2.5649493575,2.5056489487,0.0593004088,0.3214994758
M,1,1,0,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,2.7725887222,2.8723499004,-0.099761178,-0.562464144
F,1,0,1,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,2.5649493575,2.4008410096,0.1641083478,0.8873082591
F,1,0,1,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,2.5649493575,3.0153114726,-0.450362115,-2.46288787
M,1,1,0,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,2.5649493575,2.4584204545,0.106528903,0.5759812974
F,1,0,1,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,2.5649493575,2.3490422878,0.2159070696,1.1692370198
M,1,1,0,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,2.4849066498,2.3826341298,0.10227252,0.5528000421
F,1,0,1,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,2.8903717579,2.8540667659,0.036304992,0.2398457994
F,1,0,1,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,2.7725887222,2.9993137347,-0.226725012,-1.344576468
M,1,1,0,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,2.6390573296,2.47012417,0.1689331596,0.957752595
F,1,0,1,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,2.9957322736,2.6476149573,0.3481173163,2.0494281306
F,1,0,1,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,2.9957322736,2.7997658625,0.195966411,1.0800556356
M,1,1,0,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,2.6390573296,2.764646321,-0.125588991,-0.713638271
F,1,0,1,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,2.4849066498,2.7729729229,-0.288066273,-1.620816838
M,1,1,0,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,2.6390573296,2.680734038,-0.041676708,-0.235222368
F,1,0,1,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,1.9459101491,2.4025047561,-0.456594607,-2.469925639
M,1,1,0,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,2.0794415417,2.3014676343,-0.222026093,-1.202656436
F,1,0,1,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,2.0794415417,2.320667835,-0.241226293,-1.305341414
I,0,0,0,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,1.6094379124,1.4977653438,0.1116725687,0.6067015851
I,0,0,0,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,1.9459101491,1.9571129838,-0.011202835,-0.060588963
I,0,0,0,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,1.6094379124,1.6872663081,-0.077828396,-0.422764098
I,0,0,0,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,2.0794415417,1.8804051983,0.1990363433,1.0774954738
I,0,0,0,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,1.3862943611,1.4837012492,-0.097406888,-0.527764448
M,1,1,0,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,2.3978952728,2.477867278,-0.079972005,-0.433513152
M,1,1,0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,2.6390573296,2.4132851387,0.2257721909,1.2253853349
M,1,1,0,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,3.0445224377,2.715285903,0.3292365347,1.8049358538
F,1,0,1,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,2.302585093,2.4044297437,-0.101844651,-0.55115051
F,1,0,1,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,2.302585093,2.3851969837,-0.082611891,-0.44709343
F,1,0,1,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,2.4849066498,2.5480315099,-0.06312486,-0.34188539
M,1,1,0,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,2.5649493575,2.3663054352,0.1986439223,1.0749980956
F,1,0,1,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,2.4849066498,2.3872980443,0.0976086054,0.5339879911
F,1,0,1,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,2.302585093,2.5197759119,-0.217190819,-1.174945785
F,1,0,1,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,2.3978952728,2.3103383505,0.0875569223,0.4745798676
F,1,0,1,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,2.1972245773,2.4137131119,-0.216488535,-1.173571995
M,1,1,0,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,2.5649493575,2.468361199,0.0965881585,0.5229845903
M,1,1,0,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,2.4849066498,2.4408991354,0.0440075144,0.2383420185
M,1,1,0,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,2.6390573296,2.7632329948,-0.124175665,-0.674378433
I,0,0,0,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,2.0794415417,2.0661068922,0.0133346495,0.0729026924
F,1,0,1,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,2.302585093,2.0608955109,0.2416895821,1.3121444072
M,1,1,0,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,2.4849066498,2.3412472934,0.1436593564,0.7774296156
F,1,0,1,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,2.3978952728,2.3209164335,0.0769788393,0.41660846
M,1,1,0,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,2.7725887222,2.7544109858,0.0181777364,0.0986002169
M,1,1,0,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,2.7080502011,2.3053462866,0.4027039145,2.1772645377
M,1,1,0,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,2.302585093,2.4506221641,-0.148037071,-0.801588604
F,1,0,1,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,2.1972245773,2.2742674343,-0.077042857,-0.416615006
M,1,1,0,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,2.5649493575,2.6721848211,-0.107235464,-0.582161246
F,1,0,1,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,2.4849066498,2.4534045102,0.0315021396,0.1704098763
F,1,0,1,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,2.5649493575,2.558855547,0.0060938105,0.0330106877
M,1,1,0,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,2.0794415417,2.1689634752,-0.089521934,-0.484330498
F,1,0,1,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,2.1972245773,2.3376546628,-0.140430085,-0.760252727
