Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Pred Formula Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings],Lower 95% Mean Log[Rings],Upper 95% Mean Log[Rings]
M,1,1,0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,2.3978952728,2.3345409546,2.3345409546,0.0633543182,0.3383023215,2.3215806864,2.3475012228
F,1,0,1,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,2.302585093,2.346356086,2.346356086,-0.043770993,-0.233698279,2.3349132423,2.3577989298
F,1,0,1,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,2.302585093,2.3936188327,2.3936188327,-0.09103374,-0.486345365,2.3762831188,2.4109545466
M,1,1,0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,2.4849066498,2.427952298,2.427952298,0.0569543518,0.304135257,2.4147288934,2.4411757026
I,0,0,0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,1.9459101491,2.0823476069,2.0823476069,-0.136437458,-0.728914572,2.0650008674,2.0996943464
F,1,0,1,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,2.302585093,2.2171245605,2.2171245605,0.0854605325,0.4563389453,2.204328587,2.2299205341
M,1,1,0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,1.9459101491,2.1894946492,2.1894946492,-0.2435845,-1.301710374,2.1700945455,2.2088947528
M,1,1,0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,2.1972245773,2.1555434749,2.1555434749,0.0416811024,0.2227350089,2.1363914443,2.1746955056
M,1,1,0,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,2.3978952728,2.1118370891,2.1118370891,0.2860581837,1.5287744539,2.0920522565,2.1316219218
I,0,0,0,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,2.302585093,1.9942575783,1.9942575783,0.3083275147,1.6473403199,1.9764168139,2.0120983428
F,1,0,1,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,2.4849066498,2.3089961342,2.3089961342,0.1759105156,0.939080747,2.2992528309,2.3187394374
F,1,0,1,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,2.1972245773,2.3021024425,2.3021024425,-0.104877865,-0.559961647,2.290515889,2.3136889959
F,1,0,1,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,2.302585093,2.3410956817,2.3410956817,-0.038510589,-0.205584008,2.3314151804,2.3507761829
F,1,0,1,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,2.3978952728,2.4306102895,2.4306102895,-0.032715017,-0.174651894,2.4203994832,2.4408210957
F,1,0,1,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,2.3978952728,2.434082738,2.434082738,-0.036187465,-0.1931841,2.4242733293,2.4438921467
M,1,1,0,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,2.4849066498,2.4492243007,2.4492243007,0.0356823491,0.1905316264,2.4366313637,2.4618172377
M,1,1,0,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,2.7080502011,2.3680110954,2.3680110954,0.3400391057,1.8158620352,2.3544601543,2.3815620365
M,1,1,0,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,2.3978952728,2.2216493534,2.2216493534,0.1762459194,0.9412524035,2.2073616969,2.2359370099
M,1,1,0,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,2.302585093,2.490988965,2.490988965,-0.188403872,-1.005911884,2.4795189948,2.5024589351
F,1,0,1,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,2.7080502011,2.6336641816,2.6336641816,0.0743860195,0.3979751977,2.607474505,2.6598538582
M,1,1,0,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,2.8903717579,2.412772729,2.412772729,0.4775990289,2.5511178727,2.3968411282,2.4287043299
F,1,0,1,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,2.9444389792,2.428097755,2.428097755,0.5163412242,2.7595393748,2.4081451915,2.4480503184
F,1,0,1,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,2.5649493575,2.6097256688,2.6097256688,-0.044776311,-0.239435648,2.5863335842,2.6331177533
M,1,1,0,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,2.0794415417,2.1449178356,2.1449178356,-0.065476294,-0.349644302,2.1316356321,2.158200039
F,1,0,1,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,2.7725887222,2.4576941161,2.4576941161,0.3148946061,1.685005677,2.4306740877,2.4847141446
F,1,0,1,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,2.0794415417,2.193063708,2.193063708,-0.113622166,-0.606720319,2.180182282,2.205945134
F,1,0,1,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,2.3978952728,2.3357706771,2.3357706771,0.0621245957,0.331633402,2.3265664474,2.3449749069
M,1,1,0,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,2.1972245773,2.1185195477,2.1185195477,0.0787050297,0.4206976263,2.0975409283,2.139498167
F,1,0,1,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,2.1972245773,2.167100808,2.167100808,0.0301237693,0.1608746855,2.1530018351,2.1811997809
F,1,0,1,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,2.6390573296,2.3730271402,2.3730271402,0.2660301894,1.4202139439,2.3629173826,2.3831368979
I,0,0,0,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,1.6094379124,1.566724861,1.566724861,0.0427130515,0.2283234723,1.5454182645,1.5880314575
I,0,0,0,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,1.6094379124,1.4382184485,1.4382184485,0.171219464,0.9162927784,1.4106886892,1.4657482078
I,0,0,0,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,1.3862943611,1.4687491451,1.4687491451,-0.082454784,-0.44126283,1.4412153755,1.4962829148
I,0,0,0,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,1.9459101491,1.9619855214,1.9619855214,-0.016075372,-0.085876407,1.9451871523,1.9787838905
M,1,1,0,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,2.1972245773,2.1133923763,2.1133923763,0.083832201,0.4477439066,2.0984303052,2.1283544474
F,1,0,1,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,1.9459101491,2.3010564821,2.3010564821,-0.355146333,-1.897091637,2.2848568166,2.3172561477
I,0,0,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,1.7917594692,1.8024237276,1.8024237276,-0.010664258,-0.056957878,1.7873722483,1.8174752069
F,1,0,1,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,2.1972245773,2.3586710412,2.3586710412,-0.161446464,-0.861951101,2.3476433385,2.3696987439
I,0,0,0,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,2.0794415417,2.2438814165,2.2438814165,-0.164439875,-0.878328931,2.2282851215,2.2594777114
M,1,1,0,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,1.9459101491,2.1562290063,2.1562290063,-0.210318857,-1.123711027,2.1382949374,2.1741630751
M,1,1,0,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,2.302585093,2.1777779809,2.1777779809,0.1248071121,0.6665330584,2.1635920576,2.1919639042
F,1,0,1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,2.302585093,2.2260118942,2.2260118942,0.0765731988,0.4088848701,2.21315998,2.2388638084
M,1,1,0,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,1.9459101491,2.1317878696,2.1317878696,-0.185877721,-0.992744018,2.1170109703,2.1465647688
F,1,0,1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,2.0794415417,2.3994489284,2.3994489284,-0.320007387,-1.708532529,2.3881663566,2.4107315002
M,1,1,0,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,2.0794415417,2.2139021507,2.2139021507,-0.134460609,-0.718022541,2.2006050449,2.2271992565
M,1,1,0,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,2.0794415417,2.2127139223,2.2127139223,-0.133272381,-0.711772912,2.1981195831,2.2273082615
I,0,0,0,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,1.3862943611,1.6144642161,1.6144642161,-0.228169855,-1.219475782,1.5942782383,1.6346501939
F,1,0,1,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,1.9459101491,2.2783287352,2.2783287352,-0.332418586,-1.775003107,2.2657312895,2.290926181
M,1,1,0,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,1.9459101491,2.2124189533,2.2124189533,-0.266508804,-1.423321119,2.1980381008,2.2267998057
M,1,1,0,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,2.1972245773,2.1831988639,2.1831988639,0.0140257134,0.0748989428,2.1697227003,2.1966750276
F,1,0,1,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,2.302585093,2.283063803,2.283063803,0.01952129,0.104212732,2.2732844303,2.2928431758
M,1,1,0,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,1.9459101491,2.1319440089,2.1319440089,-0.18603386,-0.993619049,2.1167944855,2.1470935323
M,1,1,0,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,2.0794415417,2.3152297791,2.3152297791,-0.235788237,-1.259149967,2.3016482087,2.3288113495
M,1,1,0,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,2.0794415417,2.143876889,2.143876889,-0.064435347,-0.344121804,2.1295677612,2.1581860168
F,1,0,1,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,2.4849066498,2.5032065908,2.5032065908,-0.018299941,-0.097712043,2.4909948768,2.5154183048
F,1,0,1,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,2.5649493575,2.8802379635,2.8802379635,-0.315288606,-1.686704427,2.8544525978,2.9060233292
F,1,0,1,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,2.302585093,2.3078453182,2.3078453182,-0.005260225,-0.028095208,2.2926958024,2.3229948341
I,0,0,0,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,1.7917594692,1.7990456113,1.7990456113,-0.007286142,-0.038916776,1.7836663875,1.8144248352
M,1,1,0,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,2.5649493575,2.5347994134,2.5347994134,0.030149944,0.1610334623,2.5196149372,2.5499838897
F,1,0,1,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,2.0794415417,2.1842112327,2.1842112327,-0.104769691,-0.55975442,2.1665306757,2.2018917897
F,1,0,1,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,2.9957322736,2.6117951363,2.6117951363,0.3839371373,2.0509363609,2.5953845531,2.6282057194
M,1,1,0,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,2.3978952728,2.5579262663,2.5579262663,-0.160030993,-0.855136209,2.5390692984,2.5767832341
F,1,0,1,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,2.5649493575,2.352478099,2.352478099,0.2124712585,1.1345760443,2.339406638,2.3655495599
F,1,0,1,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,2.7080502011,2.3268406753,2.3268406753,0.3812095258,2.0351196868,2.3166281594,2.3370531912
M,1,1,0,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,2.1972245773,2.4760641025,2.4760641025,-0.278839525,-1.489055368,2.4624553707,2.4896728342
F,1,0,1,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,2.302585093,2.4389088005,2.4389088005,-0.136323708,-0.727998406,2.4252425475,2.4525750535
F,1,0,1,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,2.3978952728,2.5211977733,2.5211977733,-0.1233025,-0.658501037,2.5069633896,2.535432157
F,1,0,1,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,2.6390573296,2.4097954679,2.4097954679,0.2292618618,1.2239467206,2.3994474113,2.4201435244
F,1,0,1,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,2.1972245773,2.409433794,2.409433794,-0.212209217,-1.132785567,2.4006165179,2.4182510701
M,1,1,0,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,2.4849066498,3.0915229194,3.0915229194,-0.60661627,-3.256716338,3.0513853445,3.1316604943
F,1,0,1,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,2.7725887222,2.5016151596,2.5016151596,0.2709735626,1.448065983,2.4822676211,2.5209626981
M,1,1,0,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,3.0445224377,3.0204686435,3.0204686435,0.0240537942,0.1289874884,2.9843792465,3.0565580404
M,1,1,0,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,2.6390573296,2.568113706,2.568113706,0.0709436236,0.3788647218,2.5541829523,2.5820444597
F,1,0,1,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,2.4849066498,3.0908785621,3.0908785621,-0.605971912,-3.253860794,3.050129178,3.1316279462
M,1,1,0,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,2.5649493575,2.4936493348,2.4936493348,0.0713000226,0.3809012869,2.476668298,2.5106303716
M,1,1,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,2.302585093,2.4428174558,2.4428174558,-0.140232363,-0.748647308,2.4325200185,2.4531148931
F,1,0,1,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,2.1972245773,2.2604802301,2.2604802301,-0.063255653,-0.337744884,2.2484986533,2.2724618068
F,1,0,1,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,2.4849066498,2.6789632203,2.6789632203,-0.194056571,-1.036846149,2.6608650236,2.6970614171
M,1,1,0,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,2.7080502011,2.3556544657,2.3556544657,0.3523957354,1.8814868805,2.3441727181,2.3671362133
M,1,1,0,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,2.4849066498,2.3897208168,2.3897208168,0.095185833,0.5082993458,2.3763253094,2.4031163241
M,1,1,0,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,2.5649493575,2.6341558041,2.6341558041,-0.069206447,-0.369617545,2.6194613137,2.6488502944
F,1,0,1,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,2.302585093,2.5068134231,2.5068134231,-0.20422833,-1.090285999,2.4966546352,2.5169722111
M,1,1,0,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,2.7080502011,2.5305770599,2.5305770599,0.1774731412,0.9487365142,2.5089384606,2.5522156591
M,1,1,0,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,2.6390573296,2.6933070864,2.6933070864,-0.054249757,-0.289979923,2.6722906928,2.71432348
M,1,1,0,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,2.1972245773,2.4543210702,2.4543210702,-0.257096493,-1.373070367,2.4398261059,2.4688160346
M,1,1,0,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,2.0794415417,2.2588016413,2.2588016413,-0.1793601,-0.957838686,2.2449661775,2.2726371051
M,1,1,0,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,1.9459101491,2.3232154625,2.3232154625,-0.377305313,-2.014589096,2.31112761,2.3353033151
F,1,0,1,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,2.302585093,2.1719211398,2.1719211398,0.1306639532,0.6977125027,2.1591549924,2.1846872872
I,0,0,0,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,1.9459101491,1.8995712211,1.8995712211,0.046338928,0.2474691661,1.8855447339,1.9135977083
M,1,1,0,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,2.7080502011,2.4272432522,2.4272432522,0.2808069489,1.499056104,2.4175350343,2.4369514701
M,1,1,0,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,2.7080502011,2.6174753754,2.6174753754,0.0905748257,0.4839833272,2.5987553519,2.636195399
M,1,1,0,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,2.302585093,2.2967862513,2.2967862513,0.0057988417,0.0309559694,2.287300774,2.3062717285
M,1,1,0,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,2.4849066498,2.4216387264,2.4216387264,0.0632679234,0.3377508867,2.4118387632,2.4314386896
F,1,0,1,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,2.4849066498,2.3907720271,2.3907720271,0.0941346227,0.502534634,2.3808557024,2.4006883518
F,1,0,1,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,2.3978952728,2.5071049039,2.5071049039,-0.109209631,-0.583121459,2.494901377,2.5193084308
F,1,0,1,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,2.302585093,2.3938790689,2.3938790689,-0.091293976,-0.487415079,2.3827742729,2.4049838649
F,1,0,1,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,2.1972245773,2.4026657094,2.4026657094,-0.205441132,-1.096951015,2.3904177081,2.4149137106
F,1,0,1,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,2.1972245773,2.2630542759,2.2630542759,-0.065829699,-0.352932207,2.2277807746,2.2983277771
M,1,1,0,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,2.1972245773,2.2301535158,2.2301535158,-0.032928938,-0.175861543,2.2157335429,2.2445734887
M,1,1,0,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,2.1972245773,2.3225373367,2.3225373367,-0.125312759,-0.669506959,2.3048930501,2.3401816233
I,0,0,0,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,2.1972245773,2.0267617373,2.0267617373,0.17046284,0.9103757501,2.0123889073,2.0411345673
M,1,1,0,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,2.1972245773,2.3923976029,2.3923976029,-0.195173026,-1.042875951,2.3738445012,2.4109507045
F,1,0,1,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,2.3978952728,2.297551645,2.297551645,0.1003436278,0.5357742842,2.2855021615,2.3096011284
F,1,0,1,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,2.3978952728,2.3159942186,2.3159942186,0.0819010542,0.4375023444,2.2996057526,2.3323826847
F,1,0,1,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,2.3978952728,2.3489334555,2.3489334555,0.0489618173,0.2615002878,2.3340581813,2.3638087296
M,1,1,0,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,2.302585093,2.392044043,2.392044043,-0.08945895,-0.477986195,2.3738503452,2.4102377409
F,1,0,1,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,2.1972245773,2.4796119361,2.4796119361,-0.282387359,-1.507904239,2.4666575523,2.4925663199
M,1,1,0,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,2.0794415417,2.1282003671,2.1282003671,-0.048758825,-0.260547782,2.1092949589,2.1471057753
F,1,0,1,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,2.1972245773,2.2797598573,2.2797598573,-0.08253528,-0.440854649,2.2640497021,2.2954700125
I,0,0,0,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,1.9459101491,1.9915958978,1.9915958978,-0.045685749,-0.24398748,1.9773133275,2.0058784681
F,1,0,1,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,2.6390573296,2.4301701863,2.4301701863,0.2088871433,1.1154483008,2.4169966343,2.4433437383
M,1,1,0,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,1.7917594692,2.0686315234,2.0686315234,-0.276872054,-1.480175771,2.0466917773,2.0905712696
I,0,0,0,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,1.7917594692,1.9205318683,1.9205318683,-0.128772399,-0.687910553,1.903800811,1.9372629256
I,0,0,0,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,1.6094379124,1.6768163551,1.6768163551,-0.067378443,-0.360031955,1.6581429859,1.6954897243
I,0,0,0,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,1.7917594692,1.9086016679,1.9086016679,-0.116842199,-0.62396568,1.8948913669,1.9223119688
I,0,0,0,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,2.0794415417,1.9520434208,1.9520434208,0.1273981209,0.6803391497,1.9383001536,1.9657866881
M,1,1,0,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,2.9444389792,2.6495616199,2.6495616199,0.2948773593,1.5775286383,2.6237149822,2.6754082575
M,1,1,0,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,2.8903717579,2.6622044027,2.6622044027,0.2281673552,1.2358472396,2.5993408333,2.7250679722
M,1,1,0,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,2.8332133441,2.6044824154,2.6044824154,0.2287309287,1.2216836834,2.5892111552,2.6197536756
F,1,0,1,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,2.1972245773,2.2108905595,2.2108905595,-0.013665982,-0.072989084,2.1959648186,2.2258163004
F,1,0,1,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,1.9459101491,2.0300634051,2.0300634051,-0.084153256,-0.449920337,2.007696891,2.0524299192
I,0,0,0,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,1.9459101491,1.902173217,1.902173217,0.043736932,0.2335729545,1.8881660866,1.9161803474
I,0,0,0,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,1.9459101491,1.6720391175,1.6720391175,0.2738710315,1.4632941463,1.6539482731,1.690129962
F,1,0,1,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,2.0794415417,2.2440041837,2.2440041837,-0.164562642,-0.878828885,2.2300229268,2.2579854407
F,1,0,1,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,1.9459101491,1.953841613,1.953841613,-0.007931464,-0.042411025,1.9306499529,1.9770332731
M,1,1,0,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,2.1972245773,2.0084434142,2.0084434142,0.1887811632,1.0091038828,1.987322864,2.0295639643
F,1,0,1,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,2.1972245773,2.1941225884,2.1941225884,0.0031019889,0.0165698932,2.1779518409,2.2102933359
M,1,1,0,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,2.1972245773,2.1625673719,2.1625673719,0.0346572054,0.1851925436,2.1437307818,2.181403962
F,1,0,1,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,2.302585093,2.3605639814,2.3605639814,-0.057978888,-0.30953058,2.3501269042,2.3710010585
F,1,0,1,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,2.302585093,2.4091755181,2.4091755181,-0.106590425,-0.569462413,2.391759994,2.4265910422
M,1,1,0,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,2.7725887222,2.5756429375,2.5756429375,0.1969457848,1.0518151907,2.561231564,2.5900543109
M,1,1,0,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,2.3978952728,2.3256748959,2.3256748959,0.0722203769,0.3857025466,2.3112633653,2.3400864266
M,1,1,0,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,2.302585093,2.3089834782,2.3089834782,-0.006398385,-0.0341641,2.2967414395,2.3212255169
F,1,0,1,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,2.302585093,2.248407847,2.248407847,0.054177246,0.2892711938,2.2364567362,2.2603589579
M,1,1,0,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,2.302585093,2.2318501158,2.2318501158,0.0707349772,0.377680766,2.2198371586,2.2438630731
I,0,0,0,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,2.1972245773,1.7153980528,1.7153980528,0.4818265245,2.5740389173,1.6983872317,1.732408874
I,0,0,0,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,1.6094379124,1.3758267214,1.3758267214,0.2336111911,1.2524150605,1.3406825526,1.4109708901
I,0,0,0,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,1.3862943611,1.3593741894,1.3593741894,0.0269201717,0.1443312475,1.3239864098,1.3947619689
M,1,1,0,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,2.7080502011,2.4254527399,2.4254527399,0.2825974612,1.5086343909,2.4155635079,2.435341972
F,1,0,1,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,2.1972245773,2.4223752969,2.4223752969,-0.22515072,-1.202327607,2.4089278983,2.4358226955
F,1,0,1,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,2.302585093,2.6510878914,2.6510878914,-0.348502798,-1.861413489,2.6357617436,2.6664140393
F,1,0,1,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,2.302585093,2.6085809077,2.6085809077,-0.305995815,-1.634334078,2.5934839408,2.6236778747
F,1,0,1,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,2.4849066498,2.4857832565,2.4857832565,-0.000876607,-0.004679873,2.475477639,2.4960888741
M,1,1,0,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,2.302585093,2.2844257033,2.2844257033,0.0181593897,0.0969411597,2.2748163015,2.2940351052
